Identifier,Percent,BST,Equal,Insert Tree,Search Tree,Search Item,Delete Tree,Size,Depth,Parent,Max,Delete,AVL,AVL2,Extra,A&DS,Testing,Style
Participant 13126651,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126671,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126699,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126647,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126565,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126582,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126589,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126683,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126534,No data available;,You are at the top 43.65% of everyone;,You are at the top 5.28% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126591,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126636,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126677,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126663,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126567,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 8.39% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 71.55% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126646,No data available;,You are at the top 76.52% of everyone;,You are at the top 96.27% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 37.58% of everyone;,You are at the top 79.5% of everyone;,You are at the top 49.69% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126658,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126681,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126536,No data available;,You are at the top 34.81% of everyone;,You are at the top 10.87% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 10.25% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126553,No data available;,You are at the top 34.81% of everyone;,You are at the top 10.87% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 3.11% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126627,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126641,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126661,No data available;,You are at the top 56.08% of everyone;,You are at the top 96.27% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126666,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126632,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126570,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126675,No data available;,You are at the top 26.24% of everyone;,You are at the top 96.27% of everyone;,You are at the top 2.17% of everyone;,You are at the top 8.07% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 91.16% of everyone;
Participant 13126679,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126668,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126606,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126645,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126535,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 58.29% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126543,No data available;,You are at the top 56.08% of everyone;,You are at the top 10.87% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126604,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126590,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126613,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 47.79% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126555,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126575,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126718,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 47.79% of everyone;,You are at the top 73.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126648,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126660,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126638,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126640,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126571,No data available;,You are at the top 30.39% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 4.97% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126685,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126706,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 32.87% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126592,No data available;,You are at the top 26.24% of everyone;,You are at the top 4.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126686,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 10.25% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126655,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
